iter	Passed	Remaining
0	1	113
1	2	102
2	3	99
3	3	91
4	5	97
5	6	94
6	6	91
7	7	89
8	8	88
9	9	89
10	10	88
11	11	87
12	12	86
13	13	85
14	14	83
15	17	92
16	25	123
17	26	122
18	27	118
19	28	114
20	29	110
21	30	107
22	31	104
23	32	101
24	32	98
25	33	95
26	34	92
27	35	91
28	37	90
29	37	88
30	38	86
31	39	84
32	40	82
33	41	80
34	42	78
35	42	76
36	43	74
37	44	72
38	45	71
39	46	69
40	47	68
41	48	66
42	49	65
43	50	63
44	51	62
45	51	60
46	52	59
47	53	58
48	54	56
49	55	55
50	55	53
51	56	52
52	57	51
53	59	50
54	60	49
55	61	48
56	61	46
57	62	45
58	63	44
59	64	43
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	76	27
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	96	6
94	97	5
95	98	4
96	99	3
97	99	2
98	100	1
99	101	0
