iter	Passed	Remaining
0	1	1070
1	1	994
2	2	903
3	3	836
4	4	805
5	4	778
6	5	761
7	6	751
8	6	741
9	7	734
10	8	750
11	9	756
12	10	762
13	10	772
14	12	789
15	12	790
16	13	781
17	14	773
18	14	769
19	15	760
20	16	753
21	16	748
22	17	743
23	18	737
24	18	733
25	19	727
26	20	725
27	20	722
28	21	718
29	22	722
30	23	729
31	24	729
32	24	727
33	25	725
34	26	723
35	26	721
36	27	719
37	28	716
38	29	725
39	30	722
40	30	720
41	31	717
42	32	714
43	32	713
44	33	712
45	34	709
46	34	707
47	35	705
48	36	703
49	36	701
50	37	704
51	38	704
52	39	705
53	40	704
54	40	702
55	41	701
56	42	699
57	42	697
58	43	695
59	44	693
60	44	690
61	45	688
62	46	687
63	46	684
64	47	683
65	48	682
66	48	680
67	49	678
68	50	677
69	50	674
70	51	672
71	70	904
72	71	903
73	72	901
74	72	898
75	73	895
76	74	891
77	75	887
78	75	883
79	76	878
80	77	874
81	77	871
82	78	864
83	78	861
84	79	857
85	80	852
86	80	847
87	81	842
88	81	838
89	82	833
90	83	831
91	84	829
92	84	828
93	85	826
94	86	823
95	87	820
96	87	818
97	88	816
98	89	812
99	89	808
100	90	804
101	90	800
102	91	796
103	91	792
104	92	788
105	93	785
106	93	781
107	94	777
108	94	774
109	95	770
110	95	767
111	96	764
112	96	760
113	97	757
114	99	761
115	99	761
116	100	758
117	101	757
118	102	757
119	103	756
120	103	755
121	104	752
122	105	750
123	105	747
124	106	744
125	106	741
126	107	737
127	107	734
128	108	731
129	108	729
130	109	726
131	110	723
132	110	720
133	111	718
134	111	715
135	112	712
136	112	711
137	113	711
138	114	711
139	116	713
140	117	713
141	117	710
142	118	709
143	119	708
144	120	707
145	120	706
146	121	705
147	122	702
148	122	700
149	123	698
150	123	696
151	124	693
152	124	691
153	125	689
154	125	686
155	126	684
156	127	684
157	128	683
158	129	682
159	130	682
160	130	680
161	131	679
162	132	679
163	133	678
164	133	677
165	134	676
166	135	675
167	136	674
168	136	673
169	137	672
170	138	671
171	139	669
172	139	668
173	140	667
174	141	668
175	142	668
176	143	668
177	144	669
178	145	668
179	146	667
180	147	666
181	147	664
182	148	663
183	149	662
184	149	660
185	150	659
186	151	658
187	152	656
188	152	655
189	153	653
190	154	652
191	154	650
192	155	649
193	156	648
194	157	648
195	157	647
196	158	646
197	159	645
198	160	644
199	160	643
200	161	641
201	162	640
202	162	639
203	163	638
204	164	637
205	165	635
206	165	635
207	166	634
208	167	633
209	168	632
210	168	631
211	169	630
212	170	630
213	171	630
214	172	629
215	173	628
216	173	626
217	174	624
218	174	623
219	175	622
220	176	620
221	176	619
222	177	618
223	178	616
224	178	615
225	179	613
